[template_gray] {'method': 'gray', 'thresh': 0.8}
  250199/A000000250199_007.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_008.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_009.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_010.jpg    통과  0  미달   1  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_011.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_012.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_013.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
  250199/A000000250199_014.jpg    통과  0  미달   0  {'b.clinicx': 0, 'goodal': 0}
[feature_orb] 완료 — 통과 0, 4.22s

